id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,room_type,host_is_superhost,price,occupancy_rate,review_scores_rating,availability_365,has_price
1451531144716459314,Marzahn - Hellersdorf,Marzahn-Süd,52.53504961150572,13.552238903939724,Entire home/apt,No,90.0,0.0,,308,True
1451622951680474629,Mitte,Osloer Straße,52.56022879003709,13.37370600307646,Entire home/apt,No,101.0,31.0,4.89,254,True
1451623919386667468,Lichtenberg,Fennpfuhl,52.53158,13.46994,Private room,No,40.0,7.7,5.0,357,True
1451673177983945055,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.5166,13.43154,Entire home/apt,No,90.0,55.3,4.56,51,True
1451978002322202164,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50572529999999,13.3803103,Entire home/apt,No,,0.0,,0,False
1452021779514114724,Mitte,Moabit West,52.52619,13.32755,Entire home/apt,No,119.0,3.6,3.0,66,True
1452054130770745584,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50810633360214,13.46743971083156,Private room,No,76.0,24.1,5.0,353,True
1452140386207673064,Mitte,Brunnenstr. Nord,52.546036,13.3774427,Entire home/apt,No,80.0,13.7,4.75,111,True
1452938883567081364,Pankow,Pankow Süd,52.553906,13.4186943,Entire home/apt,No,243.0,27.7,4.63,346,True
1452965360904301968,Reinickendorf,Ost 1,52.56854890821968,13.374072164297104,Private room,No,76.0,13.7,3.0,337,True
1453036082788702263,Treptow - Köpenick,Rahnsdorf/Hessenwinkel,52.43266084131647,13.714270897712067,Entire home/apt,No,42.0,13.7,4.25,235,True
1453334763131450858,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49824,13.43243,Entire home/apt,No,135.0,7.7,5.0,171,True
1453406010103401549,Neukölln,Reuterstraße,52.48654,13.42808,Entire home/apt,No,65.0,0.0,,142,True
1453521863935313201,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52319,13.44696,Private room,Yes,68.0,17.3,5.0,97,True
